pmcid,bucket,title,n_sentences,n_chunks,n_text_elements,n_tables,n_figures,n_disease_entities,n_biomarker_entities,n_gene_entities,n_method_entities,n_outcome_entities,normalized_hardness,absolute_hardness,selection_reason
PMC10100421_HIS-82-393,related,,170,17,80,4,8,86,1,73,38,64,,,"ILP related: quality=1.200, length_penalty=0.486"
PMC10108312_HIS-82-162,related,,154,16,58,2,0,93,1,109,66,61,,,"ILP related: quality=1.200, length_penalty=0.440"
PMC11649512_HIS-86-294,related,,151,16,22,2,4,96,1,45,31,39,,,"ILP related: quality=1.200, length_penalty=0.431"
PMC11649514_HIS-86-204,related,,151,16,42,2,6,53,1,61,18,36,,,"ILP related: quality=1.200, length_penalty=0.431"
PMC12605734_HIS-87-904,related,,169,17,38,3,3,79,1,73,31,36,,,"ILP related: quality=1.200, length_penalty=0.483"
PMC2253716_his0052-0355,related,,209,21,45,5,4,90,1,101,50,61,,,"ILP related: quality=1.200, length_penalty=0.597"
PMC3564399_his0057-0212,related,,111,12,37,1,5,50,1,33,28,37,,,"ILP related: quality=1.200, length_penalty=0.317"
PMC4282326_his0065-0429,related,,108,11,39,0,1,25,1,21,19,30,,,"ILP related: quality=1.200, length_penalty=0.309"
PMC4282325_his0064-0567,related,,204,21,49,5,2,93,1,70,24,53,,,"ILP related: quality=1.200, length_penalty=0.583"
PMC4329418_his0066-0409,related,,148,15,41,7,5,53,1,56,24,35,,,"ILP related: quality=1.200, length_penalty=0.423"
PMC6635746_HIS-73-68,related,,126,13,34,4,3,77,1,90,32,54,,,"ILP related: quality=1.200, length_penalty=0.360"
PMC6850320_HIS-74-917,related,,161,17,44,5,4,40,1,36,24,38,,,"ILP related: quality=1.200, length_penalty=0.460"
PMC7539961_HIS-77-579,related,,175,18,45,3,2,65,1,41,27,44,,,"ILP related: quality=1.200, length_penalty=0.500"
PMC7540531_HIS-77-460,related,,167,17,48,5,1,82,1,71,30,57,,,"ILP related: quality=1.200, length_penalty=0.477"
PMC9826086_HIS-81-786,related,,183,19,59,3,6,72,1,58,27,55,,,"ILP related: quality=1.200, length_penalty=0.523"
